bleiben - blieb, geblieben
essen - aß, gegessen
fahren - fuhr, gefahren
fallen - fiel, gefallen
geben - gab, gegeben
gehen - ging, gegangen
helfen - half, geholfen
laufen - lief, gelaufen
lesen - las, gelesen
nehmen - nahm, genommen
schlafen - schlief, geschlafen
schlagen - schlug, geschlagen
schreiben - schrieb, geschrieben
stehen - stand, gestanden
tragen - trug, getragen
nennen - nannte, genannt
senden - sandte, gesandt
rennen - rannte, gerannt
brennen - brannte, gebrannt
bringen - brachte, gebracht
denken - dachte, gedacht
kennen - kannte, gekannt
wenden - wandte, gewandt
wissen - wusste, gewusst
sterben - starb, gestorben
vergessen - vergaß, vergessen
schweigen - schwieg, geschwiegen
befehlen - befahl, befohlen
greifen - griff, gegriffen
treiben - trieb, getrieben
bitten - bat, gebeten
sitzen - saß, gesessen
fangen - fing, gefangen
treffen - traf, getroffen
schneiden - schnitt, geschnitten
graben - grub, gegraben
verzeihen - verzieh, verziehen
ziehen - zog, gezogen
bergen - barg, geborgen
bereiten - beritt, bereitet
tun - tat, getan
streiten - stritt, gestritten
gleiten - glitt, geglitten
frieren - fror, gefroren
lügen - log, gelogen
